frame,time_s,x,y,w,h,area
90,1.551724,615,67,26,22,388
91,1.568966,613,67,27,22,407
92,1.586207,611,66,29,22,456
93,1.603448,609,67,31,22,472
94,1.62069,609,66,30,23,470
95,1.637931,608,66,31,23,486
96,1.655172,608,67,30,20,453
97,1.672414,608,67,29,20,450
98,1.689655,607,67,30,20,450
99,1.706897,607,66,30,20,445
100,1.724138,606,67,30,20,449
101,1.741379,606,67,30,20,448
102,1.758621,606,67,30,20,439
103,1.775862,606,67,30,20,444
104,1.793103,606,66,30,20,427
105,1.810345,606,67,28,19,393
106,1.827586,605,67,29,19,385
107,1.844828,604,67,30,19,389
108,1.862069,603,67,31,18,386
109,1.87931,601,67,33,20,447
110,1.896552,600,67,34,19,457
111,1.913793,598,67,35,20,518
112,1.931034,596,67,37,19,525
113,1.948276,595,67,39,19,544
114,1.965517,593,67,41,19,543
115,1.982759,590,67,43,19,578
116,2.0,588,67,45,18,600
117,2.017241,586,67,47,19,632
118,2.034483,585,67,48,18,608
119,2.051724,584,67,49,19,645
120,2.068966,583,67,43,19,584
121,2.086207,583,66,43,19,560
122,2.103448,583,67,43,19,553
123,2.12069,584,67,35,18,488
124,2.137931,584,67,34,19,504
125,2.155172,582,67,36,19,512
126,2.172414,582,67,36,19,513
127,2.189655,582,67,32,19,485
128,2.206897,581,67,33,18,467
129,2.224138,580,67,32,19,468
130,2.241379,580,67,32,19,477
131,2.258621,580,67,31,19,481
132,2.275862,579,67,31,20,498
133,2.293103,579,67,31,20,500
134,2.310345,579,67,31,20,498
135,2.327586,578,66,32,21,518
136,2.344828,577,67,32,20,504
137,2.362069,577,67,32,19,499
138,2.37931,575,67,33,20,507
139,2.396552,574,67,34,20,524
140,2.413793,574,67,32,19,492
141,2.431034,574,67,32,20,506
142,2.448276,574,67,32,20,495
143,2.465517,574,67,32,20,483
144,2.482759,574,67,31,20,448
145,2.5,572,67,30,20,437
146,2.517241,572,67,30,20,426
147,2.534483,572,67,30,20,402
148,2.551724,570,67,32,19,409
149,2.568966,574,36,24,22,374
150,2.586207,574,38,24,20,354
151,2.603448,574,38,24,20,375
152,2.62069,571,38,24,20,371
153,2.637931,567,67,33,17,419
154,2.655172,566,67,34,17,439
155,2.672414,565,67,35,17,446
156,2.689655,565,67,35,17,452
157,2.706897,564,67,36,17,450
158,2.724138,564,67,36,18,464
159,2.741379,565,67,35,18,455
160,2.758621,564,67,24,18,362
161,2.775862,563,67,35,19,484
162,2.793103,563,67,35,19,484
163,2.810345,563,67,24,19,388
164,2.827586,561,67,26,20,416
165,2.844828,562,67,25,20,410
166,2.862069,560,66,27,21,440
167,2.87931,558,66,36,22,544
168,2.896552,558,66,34,22,537
169,2.913793,555,66,38,22,586
170,2.931034,554,66,38,21,582
171,2.948276,554,66,37,21,568
172,2.965517,552,66,38,21,564
173,2.982759,550,66,40,22,605
174,3.0,551,66,37,21,569
175,3.017241,550,66,38,20,577
176,3.034483,550,66,37,21,563
177,3.051724,548,66,40,20,569
178,3.068966,547,65,41,21,607
179,3.086207,549,66,37,19,528
180,3.103448,547,66,37,19,540
181,3.12069,545,66,39,19,564
182,3.137931,544,67,38,18,535
183,3.155172,542,66,39,19,576
184,3.172414,542,66,39,20,595
185,3.189655,540,65,41,21,657
186,3.206897,539,65,42,21,703
187,3.224138,539,65,41,21,677
